target,actual,predicted
top10,1.0,1.0
top10,0.0,1.0
top10,0.0,0.0
top10,1.0,1.0
top10,0.0,0.0
top10,1.0,1.0
top10,0.0,0.0
top10,0.0,0.0
top10,1.0,1.0
top10,0.0,0.0
top10,0.0,1.0
top10,0.0,0.0
top10,1.0,1.0
top10,0.0,0.0
top10,0.0,1.0
top10,1.0,1.0
top10,1.0,1.0
top10,0.0,0.0
top10,0.0,0.0
